Date,Country,Cumulative_Total_Cases,Daily_New_Cases,Active_Cases,Cumulative_Total_Death,Daily_New_Death
1/3/2020,Malaysia,29,4,7,0,0
2/3/2020,Malaysia,29,0,7,0,0
3/3/2020,Malaysia,36,7,14,0,0
4/3/2020,Malaysia,50,14,28,0,0
5/3/2020,Malaysia,55,5,33,0,0
6/3/2020,Malaysia,83,28,60,0,0
7/3/2020,Malaysia,93,10,70,0,0
8/3/2020,Malaysia,99,6,75,0,0
9/3/2020,Malaysia,117,18,93,0,0
10/3/2020,Malaysia,129,12,42,0,0
11/3/2020,Malaysia,149,20,123,0,0
12/3/2020,Malaysia,158,9,132,0,0
13/3/2020,Malaysia,197,39,165,0,0
14/3/2020,Malaysia,238,41,203,0,0
15/3/2020,Malaysia,428,190,386,0,0
16/3/2020,Malaysia,553,125,511,0,0
17/3/2020,Malaysia,673,120,622,2,2
18/3/2020,Malaysia,790,117,728,2,0
19/3/2020,Malaysia,900,110,823,2,0
20/3/2020,Malaysia,1030,130,940,3,1
21/3/2020,Malaysia,1183,153,1061,8,5
22/3/2020,Malaysia,1306,123,1157,10,2
23/3/2020,Malaysia,1518,212,1345,14,4
24/3/2020,Malaysia,1624,106,1425,16,2
25/3/2020,Malaysia,1796,172,1577,20,4
26/3/2020,Malaysia,2031,235,1793,23,3
27/3/2020,Malaysia,2161,130,1876,26,3
28/3/2020,Malaysia,2320,159,1973,27,1
29/3/2020,Malaysia,2470,150,2047,35,8
30/3/2020,Malaysia,2626,156,2110,37,2
31/3/2020,Malaysia,2766,140,2186,43,6
1/4/2020,Malaysia,2908,142,2218,45,2
2/4/2020,Malaysia,3116,208,2299,50,5
3/4/2020,Malaysia,3333,217,2453,53,3
4/4/2020,Malaysia,3483,150,2511,57,4
5/4/2020,Malaysia,3662,179,2596,61,4
6/4/2020,Malaysia,3793,131,2490,62,1
7/4/2020,Malaysia,3963,170,2579,63,1
8/4/2020,Malaysia,4119,156,2567,65,2
9/4/2020,Malaysia,4228,109,2553,67,2
10/4/2020,Malaysia,4346,118,2446,70,3
11/4/2020,Malaysia,4530,184,2462,73,3
12/4/2020,Malaysia,4683,153,2499,76,3
13/4/2020,Malaysia,4817,134,2464,77,1
14/4/2020,Malaysia,4987,170,2427,82,5
15/4/2020,Malaysia,5072,85,2342,83,1
16/4/2020,Malaysia,5182,110,2332,84,1
17/4/2020,Malaysia,5251,69,2198,86,2
18/4/2020,Malaysia,5305,54,2115,88,2
19/4/2020,Malaysia,5389,84,2103,89,1
20/4/2020,Malaysia,5425,36,2041,89,0
21/4/2020,Malaysia,5482,57,2041,92,3
22/4/2020,Malaysia,5532,50,1987,93,1
23/4/2020,Malaysia,5603,71,1966,95,2
24/4/2020,Malaysia,5691,88,1932,96,1
25/4/2020,Malaysia,5742,51,1882,98,2
26/4/2020,Malaysia,5780,38,1820,98,0
27/4/2020,Malaysia,5820,40,1764,99,1
28/4/2020,Malaysia,5851,31,1719,100,1
29/4/2020,Malaysia,5945,94,1758,100,0
30/4/2020,Malaysia,6002,57,1729,102,2
1/5/2020,Malaysia,6071,69,1758,103,1
2/5/2020,Malaysia,6176,105,1747,103,0
3/5/2020,Malaysia,6298,122,1780,105,2
4/5/2020,Malaysia,6353,55,1764,105,0
5/5/2020,Malaysia,6383,30,1710,106,1
6/5/2020,Malaysia,6428,45,1619,107,1
7/5/2020,Malaysia,6467,39,1584,107,0
8/5/2020,Malaysia,6535,68,1564,107,0
9/5/2020,Malaysia,6589,54,1552,108,1
10/5/2020,Malaysia,6656,67,1523,108,0
11/5/2020,Malaysia,6726,70,1504,109,1
12/5/2020,Malaysia,6742,16,1410,109,0
13/5/2020,Malaysia,6779,37,1387,111,2
14/5/2020,Malaysia,6819,40,1356,112,1
15/5/2020,Malaysia,6855,36,1304,112,0
16/5/2020,Malaysia,6872,17,1247,113,1
17/5/2020,Malaysia,6894,22,1210,113,0
18/5/2020,Malaysia,6941,47,1213,113,0
19/5/2020,Malaysia,6978,37,1218,114,1
20/5/2020,Malaysia,7009,31,1189,114,0
21/5/2020,Malaysia,7059,50,1149,114,0
22/5/2020,Malaysia,7137,78,1163,115,1
23/5/2020,Malaysia,7185,48,1158,115,0
24/5/2020,Malaysia,7245,60,1185,115,0
25/5/2020,Malaysia,7417,172,1323,115,0
26/5/2020,Malaysia,7604,187,1448,115,0
27/5/2020,Malaysia,7619,15,1421,115,0
28/5/2020,Malaysia,7629,10,1345,115,0
29/5/2020,Malaysia,7732,103,1382,115,0
30/5/2020,Malaysia,7762,30,1317,115,0
31/5/2020,Malaysia,7819,57,1351,115,0
1/6/2020,Malaysia,7857,38,1338,115,0
2/6/2020,Malaysia,7877,20,1292,115,0
3/6/2020,Malaysia,7970,93,1324,115,0
4/6/2020,Malaysia,8247,277,1573,115,0
5/6/2020,Malaysia,8266,19,1540,116,1
6/6/2020,Malaysia,8303,37,1551,117,1
7/6/2020,Malaysia,8322,19,1531,117,0
8/6/2020,Malaysia,8329,7,1518,117,0
9/6/2020,Malaysia,8336,7,1244,117,0
10/6/2020,Malaysia,8338,2,1206,118,1
11/6/2020,Malaysia,8369,31,1186,118,0
12/6/2020,Malaysia,8402,33,1115,119,1
13/6/2020,Malaysia,8445,43,1014,120,1
14/6/2020,Malaysia,8453,8,986,121,1
15/6/2020,Malaysia,8494,41,973,121,0
16/6/2020,Malaysia,8505,11,651,121,0
17/6/2020,Malaysia,8515,10,521,121,0
18/6/2020,Malaysia,8529,14,408,121,0
19/6/2020,Malaysia,8535,6,344,121,0
20/6/2020,Malaysia,8556,21,289,121,0
21/6/2020,Malaysia,8572,16,295,121,0
22/6/2020,Malaysia,8587,15,289,121,0
23/6/2020,Malaysia,8590,3,283,121,0
24/6/2020,Malaysia,8596,6,244,121,0
25/6/2020,Malaysia,8600,4,208,121,0
26/6/2020,Malaysia,8606,6,191,121,0
27/6/2020,Malaysia,8616,10,187,121,0
28/6/2020,Malaysia,8634,18,195,121,0
29/6/2020,Malaysia,8637,3,182,121,0
30/6/2020,Malaysia,8639,2,164,121,0
1/7/2020,Malaysia,8640,1,144,121,0
2/7/2020,Malaysia,8643,3,85,121,0
3/7/2020,Malaysia,8648,5,81,121,0
4/7/2020,Malaysia,8658,10,76,121,0
5/7/2020,Malaysia,8663,5,77,121,0
6/7/2020,Malaysia,8668,5,71,121,0
7/7/2020,Malaysia,8674,6,72,121,0
8/7/2020,Malaysia,8677,3,70,121,0
9/7/2020,Malaysia,8683,6,63,121,0
10/7/2020,Malaysia,8696,13,64,121,0
11/7/2020,Malaysia,8704,8,67,122,1
12/7/2020,Malaysia,8718,14,77,122,0
13/7/2020,Malaysia,8725,7,83,122,0
14/7/2020,Malaysia,8729,4,83,122,0
15/7/2020,Malaysia,8734,5,86,122,0
16/7/2020,Malaysia,8737,3,77,122,0
17/7/2020,Malaysia,8755,18,92,122,0
18/7/2020,Malaysia,8764,9,96,122,0
19/7/2020,Malaysia,8779,15,103,123,1
20/7/2020,Malaysia,8800,21,122,123,0
21/7/2020,Malaysia,8815,15,130,123,0
22/7/2020,Malaysia,8831,16,142,123,0
23/7/2020,Malaysia,8840,9,143,123,0
24/7/2020,Malaysia,8861,21,161,123,0
25/7/2020,Malaysia,8884,23,167,123,0
26/7/2020,Malaysia,8897,13,173,124,1
27/7/2020,Malaysia,8904,7,179,124,0
28/7/2020,Malaysia,8943,39,212,124,0
29/7/2020,Malaysia,8956,13,220,124,0
30/7/2020,Malaysia,8964,8,223,124,0
31/7/2020,Malaysia,8976,12,207,125,1
1/8/2020,Malaysia,8985,9,213,125,0
2/8/2020,Malaysia,8999,14,210,125,0
3/8/2020,Malaysia,9001,2,208,125,0
4/8/2020,Malaysia,9002,1,193,125,0
5/8/2020,Malaysia,9023,21,196,125,0
6/8/2020,Malaysia,9038,15,200,125,0
7/8/2020,Malaysia,9063,25,210,125,0
8/8/2020,Malaysia,9070,7,170,125,0
9/8/2020,Malaysia,9083,13,174,125,0
10/8/2020,Malaysia,9094,11,166,125,0
11/8/2020,Malaysia,9103,9,169,125,0
12/8/2020,Malaysia,9114,11,172,125,0
13/8/2020,Malaysia,9129,15,183,125,0
14/8/2020,Malaysia,9149,20,196,125,0
15/8/2020,Malaysia,9175,26,219,125,0
16/8/2020,Malaysia,9200,25,216,125,0
17/8/2020,Malaysia,9212,12,211,125,0
18/8/2020,Malaysia,9219,7,192,125,0
19/8/2020,Malaysia,9235,16,185,125,0
20/8/2020,Malaysia,9240,5,183,125,0
21/8/2020,Malaysia,9249,9,179,125,0
22/8/2020,Malaysia,9257,8,183,125,0
23/8/2020,Malaysia,9267,10,183,125,0
24/8/2020,Malaysia,9274,7,184,125,0
25/8/2020,Malaysia,9285,11,189,125,0
26/8/2020,Malaysia,9291,6,188,125,0
27/8/2020,Malaysia,9296,5,177,125,0
28/8/2020,Malaysia,9306,10,151,125,0
29/8/2020,Malaysia,9317,11,154,125,0
30/8/2020,Malaysia,9334,17,160,126,1
31/8/2020,Malaysia,9340,6,159,127,1
1/9/2020,Malaysia,9354,14,151,128,1
2/9/2020,Malaysia,9360,6,153,128,0
3/9/2020,Malaysia,9374,14,163,128,0
4/9/2020,Malaysia,9385,11,165,128,0
5/9/2020,Malaysia,9391,6,150,128,0
6/9/2020,Malaysia,9397,6,154,128,0
7/9/2020,Malaysia,9459,62,207,128,0
8/9/2020,Malaysia,9559,100,295,128,0
9/9/2020,Malaysia,9583,24,312,128,0
10/9/2020,Malaysia,9628,45,333,128,0
11/9/2020,Malaysia,9810,182,501,128,0
12/9/2020,Malaysia,9868,58,551,128,0
13/9/2020,Malaysia,9915,47,591,128,0
14/9/2020,Malaysia,9946,31,615,128,0
15/9/2020,Malaysia,9969,23,632,128,0
16/9/2020,Malaysia,10031,62,668,128,0
17/9/2020,Malaysia,10052,21,674,128,0
18/9/2020,Malaysia,10147,95,754,129,1
19/9/2020,Malaysia,10167,20,722,130,1
20/9/2020,Malaysia,10219,52,734,130,0
21/9/2020,Malaysia,10276,57,751,130,0
22/9/2020,Malaysia,10358,82,665,130,0
23/9/2020,Malaysia,10505,147,770,133,3
24/9/2020,Malaysia,10577,72,778,133,0
25/9/2020,Malaysia,10687,110,858,133,0
26/9/2020,Malaysia,10769,82,851,133,0
27/9/2020,Malaysia,10919,150,950,134,1
28/9/2020,Malaysia,11034,115,1011,134,0
29/9/2020,Malaysia,11135,101,1062,134,0
30/9/2020,Malaysia,11224,89,1121,136,2
1/10/2020,Malaysia,11484,260,1334,136,0
2/10/2020,Malaysia,11771,287,1540,136,0
3/10/2020,Malaysia,12088,317,1735,137,1
4/10/2020,Malaysia,12381,293,1961,137,0
5/10/2020,Malaysia,12813,432,2336,137,0
6/10/2020,Malaysia,13504,691,2936,141,4
7/10/2020,Malaysia,13993,489,3351,141,0
8/10/2020,Malaysia,14368,375,3703,146,5
9/10/2020,Malaysia,14722,354,3863,152,6
10/10/2020,Malaysia,15096,374,4161,155,3
11/10/2020,Malaysia,15657,561,4587,157,2
12/10/2020,Malaysia,16220,563,5039,159,2
13/10/2020,Malaysia,16880,660,5345,163,4
14/10/2020,Malaysia,17540,660,5768,167,4
15/10/2020,Malaysia,18129,589,5945,170,3
16/10/2020,Malaysia,18758,629,6323,176,6
17/10/2020,Malaysia,19627,869,6886,180,4
18/10/2020,Malaysia,20498,871,7049,187,7
19/10/2020,Malaysia,21363,865,7456,190,3
20/10/2020,Malaysia,22225,862,7681,193,3
21/10/2020,Malaysia,22957,732,7827,199,6
22/10/2020,Malaysia,23804,847,8183,204,5
23/10/2020,Malaysia,24514,710,8416,214,10
24/10/2020,Malaysia,25742,1228,8966,221,7
25/10/2020,Malaysia,26565,823,9202,229,8
26/10/2020,Malaysia,27805,1240,9744,236,7
27/10/2020,Malaysia,28640,835,9903,238,2
28/10/2020,Malaysia,29441,801,10123,246,8
29/10/2020,Malaysia,30090,649,10087,246,0
30/10/2020,Malaysia,30889,799,10392,249,3
31/10/2020,Malaysia,31548,659,10051,249,0
1/11/2020,Malaysia,32505,957,10036,249,0
2/11/2020,Malaysia,33339,834,9968,251,2
3/11/2020,Malaysia,34393,1054,10135,263,12
4/11/2020,Malaysia,35425,1032,10339,271,8
5/11/2020,Malaysia,36434,1009,10503,277,6
6/11/2020,Malaysia,38189,1755,11530,279,2
7/11/2020,Malaysia,39357,1168,11666,282,3
8/11/2020,Malaysia,40209,852,11689,286,4
9/11/2020,Malaysia,41181,972,11308,294,8
10/11/2020,Malaysia,42050,869,11446,300,6
11/11/2020,Malaysia,42872,822,11497,302,2
12/11/2020,Malaysia,43791,919,11419,303,1
13/11/2020,Malaysia,45095,1304,11822,304,1
14/11/2020,Malaysia,46209,1114,12131,306,2
15/11/2020,Malaysia,47417,1208,12323,309,3
16/11/2020,Malaysia,48520,1103,12601,313,4
17/11/2020,Malaysia,49730,1210,12788,318,5
18/11/2020,Malaysia,50390,660,12814,322,4
19/11/2020,Malaysia,51680,1290,13222,326,4
20/11/2020,Malaysia,52638,958,13221,329,3
21/11/2020,Malaysia,53679,1041,12854,332,3
22/11/2020,Malaysia,54775,1096,12843,335,3
23/11/2020,Malaysia,56659,1884,13842,337,2
24/11/2020,Malaysia,58847,2188,14353,341,4
25/11/2020,Malaysia,59817,970,12971,345,4
